Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri,Song Duration
Bounce,2AR,21,0.878,0.936,126.01,0.0779,[],9,0EmHKqjAo3nzuhWP9VrMZZ,12XwpSQnXu5Txa0ONYfuPd,180000
Grip,2AR,17,0.797,0.931,126.017,0.0495,[],9,0EmHKqjAo3nzuhWP9VrMZZ,40hnG3GdVwABDF6xy9PZ65,180000
Maniac,2AR,17,0.753,0.981,128.006,0.0501,[],9,0EmHKqjAo3nzuhWP9VrMZZ,4VBc32psD5KOZoDbwiaCAi,180000
Got It,2AR,14,0.9,0.686,125.035,0.0697,[],9,0EmHKqjAo3nzuhWP9VrMZZ,2lPyqCRIBzUG6dZo3Q5M72,180000
Stereotype,2AR,14,0.801,0.848,125.009,0.048,[],9,0EmHKqjAo3nzuhWP9VrMZZ,3wtd470QO86DQsvd5foXJ5,180000
BAF,2AR,14,0.735,0.729,123.994,0.0431,[],9,0EmHKqjAo3nzuhWP9VrMZZ,6JbRUyUwEFBEi8pHkmh27c,180000
Never Drown,2AR,11,0.799,0.8,124.977,0.0722,[],9,0EmHKqjAo3nzuhWP9VrMZZ,12merFlxTAxUKGdNkidWux,180000
925,2AR,11,0.778,0.711,123.996,0.0506,[],9,0EmHKqjAo3nzuhWP9VrMZZ,4g5RsCuiW4qhVyXcOjWDly,180000
LMS,2AR,10,0.618,0.567,125.021,0.0392,[],9,0EmHKqjAo3nzuhWP9VrMZZ,7w4J7G2h92LORDVxZL7hEQ,180000
Fading Out,ATLiens,54,0.516,0.727,134.994,0.0728,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,0xTV7zNJDDRmqOtwHiiKfL,180000
Obsidian Vortex,ATLiens,51,0.743,0.986,141.997,0.0914,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,6O6ePDpaKefShKvHezsWqc,180000
Alchemy,ATLiens,50,0.738,0.867,160.066,0.227,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,46DRBgPZrFJKDHHQYIY6OG,180000
comingforyou,ATLiens,50,0.617,0.654,134.99,0.0399,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,6YsTjOmXnNTQhEM3dEkWZg,180000
Tantra,ATLiens,49,0.498,0.639,139.841,0.142,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,0lnfwG0JtYYmcmyHU7u0yi,180000
Purgatory,ATLiens,46,0.654,0.679,130.041,0.0598,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,0yD4eilzKMHCe5Fhh7qeeC,180000
Shelter - OG Nixin Remix,ATLiens,43,0.76,0.716,144.939,0.184,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,6ldYa3yxX6P7WxyCmTzmu0,180000
Fuck That,ATLiens,42,0.662,0.401,130.036,0.146,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,2ySjgeas9RMxUpapIAyCEq,180000
IMMA,ATLiens,41,0.814,0.747,130.076,0.104,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,72gzwCIiuhigAGECE7vDoT,180000
ROBOTS,ATLiens,41,0.534,0.924,140.005,0.427,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g,4vlTbBs0C5Q0oqRMz2UZqa,180000
Angel,AVELLO,37,0.46,0.886,150.103,0.0788,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,1xlH55zNAt9a4oiKsvP6gE,180000
Balance,AVELLO,33,0.368,0.65,134.324,0.0658,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,3YS8NSY5ptZtdNGLMaKMfo,180000
There She Was,AVELLO,11,0.347,0.611,95.889,0.0851,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,068NY5nyL0C4w1cgvGXg77,180000
Just Hold On,AVELLO,21,0.494,0.578,135.021,0.0512,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,5n6XXmxnwj48YWC3bxQYr2,180000
Only You (JAMES V Remix),AVELLO,19,0.398,0.699,169.744,0.0377,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,0RpHTM7xfmhjZCJsO627dG,180000
Only You (hypernaut Remix),AVELLO,19,0.502,0.811,174.987,0.0506,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,6owYa1EujCTQKXZmwhBaZX,180000
Mantra,AVELLO,17,0.389,0.453,149.999,0.0529,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,1nuTcHgOxcN06VubNgf8Lz,180000
Hate Me,AVELLO,18,0.307,0.958,76.443,0.329,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,1p8bi7BAwN7Z5RV8ktEoyy,180000
Change of Pace (AVELLO Remix),AVELLO,15,0.19,0.932,149.795,0.192,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,5uMOlEseqiMO56NnBTJRxA,180000
Never You,AVELLO,17,0.251,0.704,74.104,0.0717,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ,35CEsRnGjPYwQVUCOZnLic,180000
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Afrojack Remix",AFROJACK,36,0.494,0.793,127.979,0.339,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5Nc6m1EVQmz5vIlM4ukE4I,180000
Anywhere With You,AFROJACK,64,0.596,0.743,125.883,0.0302,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,3wfNiPBrzDwuanE75Ar6pS,180000
Ten Feet Tall,AFROJACK,63,0.523,0.861,127.049,0.0644,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,2ldAdghnrO34HPcZ0IWfTu,180000
Maldito Alcohol (Pitbull vs. Afrojack),AFROJACK,52,0.918,0.434,126.981,0.224,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5VtRjcZYvXj1VdT3FWG3ZD,180000
Take Over Control (feat. Eva Simons) - Radio Edit,AFROJACK,60,0.716,0.807,130.004,0.108,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5DdDbJvoaT8fqQMJkiGg4T,180000
Sad (feat. Afrojack),AFROJACK,61,0.717,0.716,125.064,0.0432,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,4ESPuOrSsRcBISzcMlzmY5,180000
Up All Night (feat. Afrojack),AFROJACK,59,0.637,0.868,100.048,0.0555,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5k1uIPpsHmnbWFr4nbpdYb,180000
Shockwave (with Afrojack),AFROJACK,60,0.641,0.988,128.001,0.12,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,4bOVDHj19JdKriaDQu41wD,180000
Hero,AFROJACK,58,0.713,0.772,125.001,0.0313,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,29p6UW08MXzwj9thWBW3uF,180000
Boom Boom Pow,AFROJACK,58,0.787,0.897,102.015,0.0899,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,4S2qrsdY4BF0T5UFQLtqoU,180000
Faded,Alan Walker,82,0.468,0.627,179.642,0.0476,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,698ItKASDavgwZ3WjaWjtz,180000
"Alone, Pt. II",Alan Walker,75,0.673,0.659,88.011,0.0439,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,28VbwtsYnj85UEODGpQRem,180000
Issues - Alan Walker Remix,Alan Walker,63,0.752,0.774,113.935,0.0532,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,3abKAw6reL2U3vhAe98ZsY,180000
"Better Off (Alone, Pt. III)",Alan Walker,65,0.509,0.691,129.827,0.0446,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,1P7hMSbpJOQy58eC78qx7s,180000
The Spectre,Alan Walker,79,0.654,0.711,127.957,0.0383,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,2DGa7iaidT5s0qnINlwMjJ,180000
