Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Afrojack Remix",AFROJACK,36,0.494,0.793,127.979,0.339,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5Nc6m1EVQmz5vIlM4ukE4I
Anywhere With You,AFROJACK,64,0.596,0.743,125.883,0.0302,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,3wfNiPBrzDwuanE75Ar6pS
Ten Feet Tall,AFROJACK,63,0.523,0.861,127.049,0.0644,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,2ldAdghnrO34HPcZ0IWfTu
Maldito Alcohol (Pitbull vs. Afrojack),AFROJACK,52,0.918,0.434,126.981,0.224,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5VtRjcZYvXj1VdT3FWG3ZD
Take Over Control (feat. Eva Simons) - Radio Edit,AFROJACK,60,0.716,0.807,130.004,0.108,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5DdDbJvoaT8fqQMJkiGg4T
Sad (feat. Afrojack),AFROJACK,61,0.717,0.716,125.064,0.0432,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,4ESPuOrSsRcBISzcMlzmY5
Up All Night (feat. Afrojack),AFROJACK,59,0.637,0.868,100.048,0.0555,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,5k1uIPpsHmnbWFr4nbpdYb
Shockwave (with Afrojack),AFROJACK,60,0.641,0.988,128.001,0.12,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz,4bOVDHj19JdKriaDQu41wD
Words (feat. Zara Larsson),Alesso,82,0.739,0.586,124.026,0.0472,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,1bgKMxPQU7JIZEhNsM1vFs
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,78,0.664,0.708,103.07,0.0474,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,5Gu0PDLN4YJeW75PpBSg9p
