Artist,Artist Genres,Artist Popularity,Artist uri
2AR,[],9,0EmHKqjAo3nzuhWP9VrMZZ
ATLiens,"['brostep', 'dubstep']",44,74RET4rCZPTGzhsLjD0i3g
AVELLO,[],21,1ZR5GnPw0Jkb5M4hnBwzuZ
AFROJACK,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",68,4D75GcNG95ebPtNvoNVXhz
Alan Walker,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN
Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t
Alison Wonderland,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW
Alok,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",76,0NGAZxHanS9e0iNHpR8f2W
Anabel Englund,[],46,3ky8xBRraNNzxzXEw6Ga0c
Anfisa Letyago,[],38,7icoOm5fKKPo49jVxoj1Cq
Armin van Buuren,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5
ARMNHMR,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1
Azzecca,[],41,2k5DY2QDU3kBi5DX7OQlWj
BAGGI,[],19,2YMB0FGsysOP5wOGJpXZom
BARELY ALIVE,"['brostep', 'dubstep', 'filthstep', 'gaming dubstep']",42,5c3akKV3CUqAVOnGZqf4S3
Ben Sterling,"['tech house', 'uk tech house']",30,79uJoLQkQ621xZy7MyH4uL
Benda,"['dubstep', 'gaming dubstep']",35,0md3NIXueJZSFZ82HMu26M
BLOND:ISH,['deep disco house'],55,6zsJjoCtL1WByG0VsuFWzR
BONNIE X CLYDE,['electra'],50,74xeHqz5Ap8ZHq69TkxI0r
Baby Weight,[],17,48OPpTnWriqiSMnOsqII4T
Bassrush,[],5,2uOqv5KjPE7sW2FR2QN1zf
Ben Nicky,['hard trance'],52,3Bd1phrOZJuCev9U0bzdtA
Billy Gillies,['tech trance'],55,0kmovylAP20DMJhS3BE2CO
Black Carl!,['halftime dnb'],23,07oZEFDySnjPl7vqqD8XSq
Blastoyz,['psychedelic trance'],45,6WLP1sraOcF3Gaxp7xBa4p
CID,"['bass house', 'deep groove house', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tech house', 'uk dance']",51,4FCzCS0KEgb0rgySWINItO
Carlita,[],46,1GVbOnrND8b3eh2JZ4opw8
Carola,['brazilian edm'],43,1ms2l3rB6iHHxtPvR9kxgW
CELO,[],33,0cF121Uo22slYVIvyft0Eh
Chelina Manuhutu,['dutch tech house'],24,4IoT1ZwtqNYn1u7q9r62Sy
Chris Stussy,['dutch tech house'],46,3BxjasMelf9pKaE4f7Y0So
Crankdat,['dubstep'],50,5lCekoJW9jNq01B1wiqdAb
DJ Icey,['breakbeat'],25,6bqEoxxGlwtRXZsoAXJFzA
deadmau5,"['canadian electronic', 'complextro', 'edm', 'electro house', 'pop dance', 'progressive house']",65,2CIMQHirSU0MQqyYHq0eOx
Deathpact,['dark clubbing'],44,09C3CKFxKEw1n1Z7kvT3jb
Dennis Cruz,['latin tech house'],44,27mWOSZjlpmtoqsRjRwQyu
Deorro,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",63,6VD4UEUPvtsemqD3mmTqCR
Dillon Francis,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']",61,5R3Hr2cnCCjt220Jmt2xLf
Dirt Monkey,"['brostep', 'dubstep', 'filthstep']",40,5dNqUwGTZcQQ09ecTKkCGH
Disco Lines,['stutter house'],59,5Kmr0b3ip8g9P2i0dLTC3Z
Discovery Soundscapes,[],30,6XrTaOWstLi77Ns9GkcMTT
Dom Dolla,"['australian house', 'deep groove house', 'house']",65,205i7E8fNVfojowcQSfK9m
Dombresky,"['bass house', 'electro house', 'house', 'tech house']",49,2GVtgxcx7jg5xVCZsIHSGN
Dreamstate Logic,['space ambient'],26,28v6aJcwl6Wvm6MH6gINzN
Eats Everything,"['deep disco house', 'house', 'raw techno']",41,4W991QdgKWX4TO864ypInA
Edgar Vargas,[],17,3IwU7rdLcGw0DY1MATanr0
Eli Brown,"['house', 'tech house', 'uk dance']",58,5lVNSw2GPci8kebrAQpZqU
Excision,"['brostep', 'canadian electronic', 'filthstep']",58,5FKchcZpQOkqFvXBj1aCvb
Factory 93,[],1,655zZ3gkYSjl28z5CU4Iz1
FISHER,"['australian house', 'house']",68,1VJ0briNOlXRtJUAzoUJdt
Franky Rizardo,"['circuit', 'dutch tech house', 'house']",46,2UgphhGSlC9QWgaZWUOCkl
Franky Wah,"['uk dance', 'uk house']",49,3IG3Ub4ra8AuSxCFDVkVco
GEMINI,['korean r&b'],54,67IWlRdLy3UcfY3q968euj
Gorgon City,"['future garage', 'house', 'pop dance', 'uk dance']",60,4VNQWV2y1E97Eqo2D5UTjx
GorillaT,[],31,3zcOegUrWqti1S0lu4juJz
