Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
In Other Words,Ben Kweller,28,0.4,0.571,125.922,0.0337,336693,"['Dallas Indie', 'Pop Rock']",34,7bhMBjjQhgPX0q9S4Ajncn,6jagRRUpDMeNVgRfLOYXVh,https://i.scdn.co/image/ab6761610000f1782f5c2e69f02a4f70dc3fc732
This is War,Ben Kweller,34,0.562,0.641,104.163,0.0321,145386,"['Dallas Indie', 'Pop Rock']",34,7bhMBjjQhgPX0q9S4Ajncn,4fKXXfoLr3Q84wy9yHINCe,https://i.scdn.co/image/ab6761610000f1782f5c2e69f02a4f70dc3fc732
Bruised,Ben Kweller,29,0.574,0.77,129.045,0.0461,274626,"['Dallas Indie', 'Pop Rock']",34,7bhMBjjQhgPX0q9S4Ajncn,1F7r2qMiYI5WvIjCL64gkA,https://i.scdn.co/image/ab6761610000f1782f5c2e69f02a4f70dc3fc732
American Cigarettes,Ben Kweller,30,0.676,0.556,144.057,0.0321,218717,"['Dallas Indie', 'Pop Rock']",34,7bhMBjjQhgPX0q9S4Ajncn,4ZLDkZPOTDQ2nDUo0y0tw1,https://i.scdn.co/image/ab6761610000f1782f5c2e69f02a4f70dc3fc732
Wasted & Ready,Ben Kweller,39,0.529,0.731,112.548,0.0504,231200,"['Dallas Indie', 'Pop Rock']",34,7bhMBjjQhgPX0q9S4Ajncn,1yYWwkCW5kk5ZLRbxxqY4u,https://i.scdn.co/image/ab6761610000f1782f5c2e69f02a4f70dc3fc732
Hair of Dog,Die Spitz,37,0.5,0.973,98.413,0.0551,140333,['Austin Rock'],28,0zfZmpHTu0MlkkNr5KHeXE,7x7Ej1fQsdve9jNOvN0AOU,https://i.scdn.co/image/ab6761610000f178f1e2cb98e7da61fdf6f8a535
Groping Dogs Gushing Blood,Die Spitz,33,0.38,0.986,160.971,0.0734,188186,['Austin Rock'],28,0zfZmpHTu0MlkkNr5KHeXE,3XyCUBnMCjv6WTKAUeruX2,https://i.scdn.co/image/ab6761610000f178f1e2cb98e7da61fdf6f8a535
Marrowbone,Die Spitz,25,0.284,0.923,158.078,0.0692,229853,['Austin Rock'],28,0zfZmpHTu0MlkkNr5KHeXE,1vbn1pHo8Nt9tkZKtkfG9l,https://i.scdn.co/image/ab6761610000f178f1e2cb98e7da61fdf6f8a535
Evangeline,Die Spitz,24,0.206,0.981,157.685,0.0656,149226,['Austin Rock'],28,0zfZmpHTu0MlkkNr5KHeXE,4vBRkyNqWnsr83HQ9ta8Hs,https://i.scdn.co/image/ab6761610000f178f1e2cb98e7da61fdf6f8a535
Walk,Foo Fighters,70,0.234,0.865,137.107,0.0516,255960,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,76Je5Wklky23mVoxiRszcN,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
Everlong,Foo Fighters,85,0.413,0.881,158.066,0.0367,250546,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,5UWwZ5lm5PKu6eKsHAGxOk,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
All My Life,Foo Fighters,74,0.577,0.604,167.719,0.0495,263440,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,6tsojOQ5wHaIjKqIryLZK6,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
The Pretender,Foo Fighters,80,0.433,0.959,172.984,0.0431,269373,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,7x8dCjCr0x6x2lXKujYD34,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
Learn to Fly,Foo Fighters,78,0.465,0.919,135.997,0.0408,235293,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,5OQsiBsky2k2kDKy2bX2eT,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
My Hero,Foo Fighters,78,0.398,0.927,77.106,0.0567,260026,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,4dVbhS6OiYvFikshyaQaCN,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
Best of You,Foo Fighters,77,0.366,0.94,130.198,0.0696,255626,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,5FZxsHWIvUsmSK1IAvm2pp,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
Monkey Wrench,Foo Fighters,71,0.401,0.953,174.217,0.0752,231480,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,44wXefe8WB9Fd6xwtmAwbR,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
Times Like These,Foo Fighters,70,0.376,0.908,144.581,0.0879,265560,"['Alternative Metal', 'Alternative Rock', 'Modern Rock', 'Permanent Wave', 'Post-Grunge', 'Rock']",77,7jy3rLJdDQY21OgRLCZ9sD,67vYdAAM3oGsEImCRfbtsF,https://i.scdn.co/image/ab6761610000f178c884df599abc793c116cdf15
Would That I,Hozier,76,0.521,0.526,130.694,0.0281,268293,"['Irish Singer-Songwriter', 'Modern Rock', 'POV: Indie']",82,2FXC3k01G6Gw61bmprjgqS,37zuIvk4KBkAxxLJsxJaHq,https://i.scdn.co/image/ab6761610000f178ad85a585103dfc2f3439119a
Cherry Wine - Live,Hozier,70,0.415,0.11,81.876,0.0388,240146,"['Irish Singer-Songwriter', 'Modern Rock', 'POV: Indie']",82,2FXC3k01G6Gw61bmprjgqS,1C042FLYy7rP3MfnkOcnha,https://i.scdn.co/image/ab6761610000f178ad85a585103dfc2f3439119a
Work Song,Hozier,80,0.531,0.363,121.412,0.0608,229720,"['Irish Singer-Songwriter', 'Modern Rock', 'POV: Indie']",82,2FXC3k01G6Gw61bmprjgqS,5TgEJ62DOzBpGxZ7WRsrqb,https://i.scdn.co/image/ab6761610000f178ad85a585103dfc2f3439119a
Take Me to Church,Hozier,79,0.566,0.664,128.945,0.0464,241693,"['Irish Singer-Songwriter', 'Modern Rock', 'POV: Indie']",82,2FXC3k01G6Gw61bmprjgqS,1CS7Sd1u5tWkstBhpssyjP,https://i.scdn.co/image/ab6761610000f178ad85a585103dfc2f3439119a
Almost (Sweet Music),Hozier,75,0.523,0.687,90.036,0.105,217480,"['Irish Singer-Songwriter', 'Modern Rock', 'POV: Indie']",82,2FXC3k01G6Gw61bmprjgqS,5Apvsk0suoivI1H8CmBglv,https://i.scdn.co/image/ab6761610000f178ad85a585103dfc2f3439119a
