Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Hillbilly Daydream,49 Winchester,61,0.656,0.524,94.961,0.0316,137682,['Modern Country Pop'],59,1JWMpIl0nhqFJNdO3IOQ20,23x5kkzMtq2t3nVlucD8p2,https://i.scdn.co/image/ab6761610000f17893e7278e54ae6115676ab59e
Everlasting Lover,49 Winchester,57,0.424,0.409,135.896,0.0324,193500,['Modern Country Pop'],59,1JWMpIl0nhqFJNdO3IOQ20,6M1CxE2roojruGqAIVNLYL,https://i.scdn.co/image/ab6761610000f17893e7278e54ae6115676ab59e
Last Call,49 Winchester,56,0.591,0.73,166.04,0.0319,208942,['Modern Country Pop'],59,1JWMpIl0nhqFJNdO3IOQ20,0SKmU6qOXKUdHuZsiSqpcn,https://i.scdn.co/image/ab6761610000f17893e7278e54ae6115676ab59e
All I Need,49 Winchester,59,0.667,0.554,94.019,0.026,182672,['Modern Country Pop'],59,1JWMpIl0nhqFJNdO3IOQ20,5cMNnlrWypFvTPnZpF1MA8,https://i.scdn.co/image/ab6761610000f17893e7278e54ae6115676ab59e
Russell County Line,49 Winchester,67,0.635,0.318,95.056,0.0347,249872,['Modern Country Pop'],59,1JWMpIl0nhqFJNdO3IOQ20,68i0Y8xMaYxLHSeUu4uWtA,https://i.scdn.co/image/ab6761610000f17893e7278e54ae6115676ab59e
Heart On Fire In Mexico,Abby Anderson,56,0.625,0.579,92.943,0.0349,204053,['Country Pop'],48,0WicR9iYAPd0Bi7i3bz9MB,17Z0Rhbye8ehDsPKSwXI9O,https://i.scdn.co/image/ab6761610000f178817b39f2722ad676a115e76e
Highway Cry,Abby Anderson,37,0.506,0.718,159.937,0.0389,186314,['Country Pop'],48,0WicR9iYAPd0Bi7i3bz9MB,1KQsuzrdexORS3oTVI80wK,https://i.scdn.co/image/ab6761610000f178817b39f2722ad676a115e76e
Make Him Wait,Abby Anderson,46,0.406,0.427,158.802,0.0416,203240,['Country Pop'],48,0WicR9iYAPd0Bi7i3bz9MB,530TAWLytdeGGAhg7y0JB5,https://i.scdn.co/image/ab6761610000f178817b39f2722ad676a115e76e
First To Hit The Road,Abby Anderson,46,0.638,0.381,78.068,0.032,198450,['Country Pop'],48,0WicR9iYAPd0Bi7i3bz9MB,17kxPpEt70vei0hmSepqqH,https://i.scdn.co/image/ab6761610000f178817b39f2722ad676a115e76e
Hey Girl,Anne Wilson,55,0.546,0.77,75.005,0.0311,188706,"['Ccm', 'Christian Music']",60,75JvBeqW4BJ4xgnbMAq6MN,0VAzzX60usmbyVLsEnArRF,https://i.scdn.co/image/ab6761610000f178e6ddf41ccb25203969fb74a0
Sunday Sermons,Anne Wilson,62,0.417,0.738,195.985,0.0615,200440,"['Ccm', 'Christian Music']",60,75JvBeqW4BJ4xgnbMAq6MN,3l9iNZD6J3nDZMlAhH48Q1,https://i.scdn.co/image/ab6761610000f178e6ddf41ccb25203969fb74a0
Strong,Anne Wilson,61,0.505,0.648,76.025,0.0295,204800,"['Ccm', 'Christian Music']",60,75JvBeqW4BJ4xgnbMAq6MN,7qKq3YnzxmYfYipYQxzLe4,https://i.scdn.co/image/ab6761610000f178e6ddf41ccb25203969fb74a0
Something About That Name,Anne Wilson,57,0.465,0.628,75.055,0.0286,212706,"['Ccm', 'Christian Music']",60,75JvBeqW4BJ4xgnbMAq6MN,4ciS9nPEHe817gNWMem6xv,https://i.scdn.co/image/ab6761610000f178e6ddf41ccb25203969fb74a0
My Jesus,Anne Wilson,66,0.51,0.644,76.001,0.0341,217680,"['Ccm', 'Christian Music']",60,75JvBeqW4BJ4xgnbMAq6MN,7ETprIldSufrqcGF8MSBCZ,https://i.scdn.co/image/ab6761610000f178e6ddf41ccb25203969fb74a0
Never Wanted To Be That Girl,Ashley McBryde,57,0.553,0.609,73.903,0.0469,214416,"['Arkansas Country', 'Contemporary Country', 'Country', 'Country Road']",55,371jpyGdoChzUASOIG2ECV,7yRJMLG9ja0fBVVEmV6vcT,https://i.scdn.co/image/ab6761610000f1788f9ef4e990c95775b39a99ab
The Devil I Know,Ashley McBryde,55,0.536,0.672,168.184,0.0437,187880,"['Arkansas Country', 'Contemporary Country', 'Country', 'Country Road']",55,371jpyGdoChzUASOIG2ECV,6Ser4pIAKEoXok7eDJPRK7,https://i.scdn.co/image/ab6761610000f1788f9ef4e990c95775b39a99ab
Martha Divine,Ashley McBryde,52,0.587,0.939,136.96,0.0745,217706,"['Arkansas Country', 'Contemporary Country', 'Country', 'Country Road']",55,371jpyGdoChzUASOIG2ECV,7cokvE1fABqkJL8FgUiBcS,https://i.scdn.co/image/ab6761610000f1788f9ef4e990c95775b39a99ab
One Night Standards,Ashley McBryde,59,0.537,0.686,78.052,0.0293,190973,"['Arkansas Country', 'Contemporary Country', 'Country', 'Country Road']",55,371jpyGdoChzUASOIG2ECV,47qZzTLLJcuD69AIKnquo4,https://i.scdn.co/image/ab6761610000f1788f9ef4e990c95775b39a99ab
Girl Goin' Nowhere,Ashley McBryde,52,0.591,0.157,82.412,0.0676,207066,"['Arkansas Country', 'Contemporary Country', 'Country', 'Country Road']",55,371jpyGdoChzUASOIG2ECV,2lyEpuvVOnNGzV5c89Vnpf,https://i.scdn.co/image/ab6761610000f1788f9ef4e990c95775b39a99ab
Can't Miss You Anymore,Avery Anna,45,0.388,0.428,189.792,0.0396,172663,"['Alt Z', 'Modern Country Pop', 'Singer-Songwriter Pop']",56,5rjz63sgMaAUAyBMyCUK5D,5LkRgwjOaBydaGxc5rztPd,https://i.scdn.co/image/ab6761610000f178450e2e108d76b03e25c99d2a
I Love You More,Avery Anna,47,0.576,0.629,137.081,0.026,204560,"['Alt Z', 'Modern Country Pop', 'Singer-Songwriter Pop']",56,5rjz63sgMaAUAyBMyCUK5D,31KrrOzf8FgoTJa7djzdol,https://i.scdn.co/image/ab6761610000f178450e2e108d76b03e25c99d2a
Narcissist,Avery Anna,61,0.322,0.48,73.476,0.0492,154026,"['Alt Z', 'Modern Country Pop', 'Singer-Songwriter Pop']",56,5rjz63sgMaAUAyBMyCUK5D,3LLezpquftwn7QI1rYIovM,https://i.scdn.co/image/ab6761610000f178450e2e108d76b03e25c99d2a
Just Cause I Love You,Avery Anna,48,0.392,0.298,184.478,0.0364,199669,"['Alt Z', 'Modern Country Pop', 'Singer-Songwriter Pop']",56,5rjz63sgMaAUAyBMyCUK5D,7HIhgpHAhgR0hsAtZ9Jil6,https://i.scdn.co/image/ab6761610000f178450e2e108d76b03e25c99d2a
Self Love,Avery Anna,50,0.653,0.666,139.93,0.0655,171013,"['Alt Z', 'Modern Country Pop', 'Singer-Songwriter Pop']",56,5rjz63sgMaAUAyBMyCUK5D,3oRT45v51KOyV37KPmemc3,https://i.scdn.co/image/ab6761610000f178450e2e108d76b03e25c99d2a
My Truck,BRELAND,49,0.883,0.299,136.982,0.105,158329,['Black Americana'],57,0C86lmpnwiyLDUiyo4d0P1,2sxteNXv9VZeot1lmJEDg1,https://i.scdn.co/image/ab6761610000f178dfd93e9abd4b36de8e156655
Praise the Lord (feat. Thomas Rhett),BRELAND,44,0.824,0.609,107.488,0.077,159252,['Black Americana'],57,0C86lmpnwiyLDUiyo4d0P1,41J9hA7Tev5iFg2ugHRIPg,https://i.scdn.co/image/ab6761610000f178dfd93e9abd4b36de8e156655
Heartbreak & Alcohol,BRELAND,59,0.745,0.778,139.944,0.0339,166032,['Black Americana'],57,0C86lmpnwiyLDUiyo4d0P1,5GXhlMF4fbI0aJaxtR4ilc,https://i.scdn.co/image/ab6761610000f178dfd93e9abd4b36de8e156655
Beers On Me,BRELAND,70,0.59,0.846,146.028,0.0396,174680,['Black Americana'],57,0C86lmpnwiyLDUiyo4d0P1,19ZzEzb4BVK1wVO4brrmZz,https://i.scdn.co/image/ab6761610000f178dfd93e9abd4b36de8e156655
My Truck (feat. Sam Hunt) - Remix,BRELAND,49,0.753,0.503,136.892,0.0406,159888,['Black Americana'],57,0C86lmpnwiyLDUiyo4d0P1,0vInSJATtcoZZ0GofWNGjP,https://i.scdn.co/image/ab6761610000f178dfd93e9abd4b36de8e156655
Never Comin' Home,Bailey Zimmerman,68,0.556,0.59,143.972,0.029,194270,"['Contemporary Country', 'Modern Country Pop']",75,3win9vGIxFfBRag9S63wwf,4hEA25qUMn3camHI87UhiI,https://i.scdn.co/image/ab6761610000f178ed36422f0f4ab7564fd0a2d6
Get to Gettin’ Gone,Bailey Zimmerman,67,0.584,0.68,146.093,0.0351,182465,"['Contemporary Country', 'Modern Country Pop']",75,3win9vGIxFfBRag9S63wwf,3C3ooMrQyhr0gouukZTGz4,https://i.scdn.co/image/ab6761610000f178ed36422f0f4ab7564fd0a2d6
Religiously,Bailey Zimmerman,81,0.57,0.67,140.924,0.0274,178723,"['Contemporary Country', 'Modern Country Pop']",75,3win9vGIxFfBRag9S63wwf,0bILU0UiNDmA5Ff6whhb2R,https://i.scdn.co/image/ab6761610000f178ed36422f0f4ab7564fd0a2d6
Holy Smokes,Bailey Zimmerman,77,0.462,0.569,95.117,0.0321,195157,"['Contemporary Country', 'Modern Country Pop']",75,3win9vGIxFfBRag9S63wwf,1kMWJ16W3Yk3hyNmaM7jfQ,https://i.scdn.co/image/ab6761610000f178ed36422f0f4ab7564fd0a2d6
Fall In Love,Bailey Zimmerman,78,0.524,0.643,135.962,0.0297,232058,"['Contemporary Country', 'Modern Country Pop']",75,3win9vGIxFfBRag9S63wwf,0rCFRyEy4WXjRXNpO80Dzs,https://i.scdn.co/image/ab6761610000f178ed36422f0f4ab7564fd0a2d6
Rock and A Hard Place,Bailey Zimmerman,82,0.582,0.568,121.991,0.0275,207540,"['Contemporary Country', 'Modern Country Pop']",75,3win9vGIxFfBRag9S63wwf,1TE8AAk9koG0UJco6ZAUfx,https://i.scdn.co/image/ab6761610000f178ed36422f0f4ab7564fd0a2d6
Sunshine Shine,Blanco Brown,52,0.843,0.651,113.936,0.0423,181942,"['Black Americana', 'Country Rap']",56,3yzRiNMZdTsSUgplcyYZ4i,2467Nxi5K1DUUj7eRg1i64,https://i.scdn.co/image/ab6761610000f178c2fcb4a7b2db8828c242ff41
The Git Up,Blanco Brown,67,0.847,0.678,97.984,0.109,200593,"['Black Americana', 'Country Rap']",56,3yzRiNMZdTsSUgplcyYZ4i,01tA4XmJ4fGQNwti6b2hPm,https://i.scdn.co/image/ab6761610000f178c2fcb4a7b2db8828c242ff41
Do Si Do (feat. Blanco Brown),Blanco Brown,45,0.883,0.623,117.92,0.0982,138813,"['Black Americana', 'Country Rap']",56,3yzRiNMZdTsSUgplcyYZ4i,21HtICjxfQGi3bS9XH7dOl,https://i.scdn.co/image/ab6761610000f178c2fcb4a7b2db8828c242ff41
Just the Way,Blanco Brown,69,0.54,0.796,90.033,0.0412,193880,"['Black Americana', 'Country Rap']",56,3yzRiNMZdTsSUgplcyYZ4i,4h5OVQQbeqw3lNaFIbmlzG,https://i.scdn.co/image/ab6761610000f178c2fcb4a7b2db8828c242ff41
Soul (R3HAB Remix),Blanco Brown,51,0.641,0.839,125.013,0.051,148440,"['Black Americana', 'Country Rap']",56,3yzRiNMZdTsSUgplcyYZ4i,32d8sQk2Q6zttnj80nBFMM,https://i.scdn.co/image/ab6761610000f178c2fcb4a7b2db8828c242ff41
