Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Faraar,AP Dhillon,67,0.899,0.529,89.864,0.218,130000,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,72H6G8v9xyuwdRBaTkoT5G,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
Brown Munde,AP Dhillon,71,0.854,0.611,100.024,0.0864,254400,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,58f4twRnbZOOVUhMUpplJ4,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
Insane,AP Dhillon,69,0.796,0.572,98.967,0.0545,206060,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,3UhmuWcFaLS3AO3kI9ynQ2,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
True Stories,AP Dhillon,74,0.725,0.658,147.936,0.268,117972,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,28lvraTNIN8qiTpoIK7m8Z,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
Dil Nu,AP Dhillon,71,0.811,0.655,117.979,0.0353,233666,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,7AsG1F1eMWd17RYan8M3Wm,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
Wo Noor,AP Dhillon,67,0.761,0.554,92.52,0.0854,199420,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,32FVH23yFXr8Z0sfjRw4It,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
Excuses,AP Dhillon,75,0.837,0.717,94.984,0.0822,176232,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,29m79w9xPMH4YCD6r8JSmV,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
Summer High,AP Dhillon,72,0.86,0.541,114.984,0.0325,177391,"['Desi Pop', 'Punjabi Hip Hop', 'Punjabi Pop']",73.0,6LEG9Ld1aLImEFEVHdWNSB,1aL9518P5G72N92b48tuKw,https://i.scdn.co/image/ab6761610000f178c81f480a6da366f051cf74cc
One in a Million,Bebe Rexha,77,0.454,0.931,137.945,0.0321,160529,"['Dance Pop', 'Pop']",79.0,64M6ah0SkkRsnPGtGiRAbb,3YfGTvsTAWGC2lgoDOikUz,https://i.scdn.co/image/ab6761610000f178c692afc666512dc946a7358f
"Me, Myself & I",Bebe Rexha,78,0.756,0.674,111.995,0.0959,251466,"['Dance Pop', 'Pop']",79.0,64M6ah0SkkRsnPGtGiRAbb,40YcuQysJ0KlGQTeGUosTC,https://i.scdn.co/image/ab6761610000f178c692afc666512dc946a7358f
I'm Good (Blue),Bebe Rexha,90,0.561,0.965,128.04,0.0343,175238,"['Dance Pop', 'Pop']",79.0,64M6ah0SkkRsnPGtGiRAbb,4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab6761610000f178c692afc666512dc946a7358f
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,74,0.642,0.772,153.995,0.0848,164205,"['Dance Pop', 'Pop']",79.0,64M6ah0SkkRsnPGtGiRAbb,4e4fqjx0Izh4svvTef1z7e,https://i.scdn.co/image/ab6761610000f178c692afc666512dc946a7358f
