Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Up All Night (feat. Afrojack),AFROJACK,59,0.637,0.868,100.048,0.0555,160906,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,5k1uIPpsHmnbWFr4nbpdYb,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Take Over Control (feat. Eva Simons) - Radio Edit,AFROJACK,59,0.716,0.807,130.004,0.108,208620,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,5DdDbJvoaT8fqQMJkiGg4T,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Afrojack Remix",AFROJACK,34,0.494,0.793,127.979,0.339,197040,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,5Nc6m1EVQmz5vIlM4ukE4I,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Anywhere With You,AFROJACK,63,0.596,0.743,125.883,0.0302,158807,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,3wfNiPBrzDwuanE75Ar6pS,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Ten Feet Tall,AFROJACK,63,0.523,0.861,127.049,0.0644,229149,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,2ldAdghnrO34HPcZ0IWfTu,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Shockwave (with Afrojack),AFROJACK,58,0.641,0.988,128.001,0.12,122578,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,4bOVDHj19JdKriaDQu41wD,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Maldito Alcohol (Pitbull vs. Afrojack),AFROJACK,53,0.918,0.434,126.981,0.224,201320,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,5VtRjcZYvXj1VdT3FWG3ZD,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Boom Boom Pow,AFROJACK,58,0.787,0.897,102.015,0.0899,185413,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",70,4D75GcNG95ebPtNvoNVXhz,4S2qrsdY4BF0T5UFQLtqoU,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Drowning,ARMNHMR,39,0.377,0.798,154.965,0.0461,229161,"['Melodic Dubstep', 'Pop EDM']",46,0P2bZXPyjHYRW4guHVAFl1,7GnwJfPp7C8Y7Rvaeb0EAc,https://i.scdn.co/image/ab6761610000f1780fa7aaa62cb8eac0f3992d01
Fragile (feat. Melanie Fontana),ARMNHMR,40,0.446,0.686,138.013,0.0302,233913,"['Melodic Dubstep', 'Pop EDM']",46,0P2bZXPyjHYRW4guHVAFl1,4EvKzytfhMlyqgwyWzR9So,https://i.scdn.co/image/ab6761610000f1780fa7aaa62cb8eac0f3992d01
Saving Lives,ARMNHMR,42,0.405,0.646,141.985,0.0307,267676,"['Melodic Dubstep', 'Pop EDM']",46,0P2bZXPyjHYRW4guHVAFl1,6OK7OQyyvNPd2XQIHCB1wz,https://i.scdn.co/image/ab6761610000f1780fa7aaa62cb8eac0f3992d01
IT'S YOU - ARMNHMR Remix,ARMNHMR,44,0.591,0.728,119.961,0.049,176540,"['Melodic Dubstep', 'Pop EDM']",46,0P2bZXPyjHYRW4guHVAFl1,6EmRDtmAq556gtaj0rOjsW,https://i.scdn.co/image/ab6761610000f1780fa7aaa62cb8eac0f3992d01
