Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Afrojack Remix",AFROJACK,36,0.494,0.793,127.979,0.339,197040,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,5Nc6m1EVQmz5vIlM4ukE4I,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Anywhere With You,AFROJACK,63,0.596,0.743,125.883,0.0302,158807,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,3wfNiPBrzDwuanE75Ar6pS,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Maldito Alcohol (Pitbull vs. Afrojack),AFROJACK,52,0.918,0.434,126.981,0.224,201320,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,5VtRjcZYvXj1VdT3FWG3ZD,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Ten Feet Tall,AFROJACK,63,0.523,0.861,127.049,0.0644,229149,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,2ldAdghnrO34HPcZ0IWfTu,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Push It,AFROJACK,63,0.604,0.995,140.011,0.102,248571,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,2HAVzWKbG539XNDlWz3FX5,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Sad (feat. Afrojack),AFROJACK,61,0.717,0.716,125.064,0.0432,161280,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,4ESPuOrSsRcBISzcMlzmY5,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Take Over Control (feat. Eva Simons) - Radio Edit,AFROJACK,60,0.716,0.807,130.004,0.108,208620,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,5DdDbJvoaT8fqQMJkiGg4T,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Up All Night (feat. Afrojack),AFROJACK,59,0.637,0.868,100.048,0.0555,160906,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",68,4D75GcNG95ebPtNvoNVXhz,5k1uIPpsHmnbWFr4nbpdYb,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Words (feat. Zara Larsson),Alesso,82,0.739,0.586,124.026,0.0472,142677,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,1bgKMxPQU7JIZEhNsM1vFs,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,78,0.664,0.708,103.07,0.0474,174800,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,5Gu0PDLN4YJeW75PpBSg9p,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
Under Control (feat. Hurts),Alesso,76,0.544,0.915,126.094,0.0841,184280,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,4J7CKHCF3mdL4diUsmW8lq,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
When I’m Gone (with Katy Perry),Alesso,76,0.685,0.886,125.034,0.034,161266,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,5902W4uHWzhtOff1UK7the,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
Heroes (we could be),Alesso,75,0.503,0.748,125.896,0.0619,210013,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,3zU9rdflI65tK4dkkNSp77,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
If I Lose Myself - Alesso vs OneRepublic,Alesso,63,0.523,0.782,125.998,0.041,214813,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,1hZk9dktp4yRFTm0TrycuH,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
Calling (Lose My Mind) - Radio Edit,Alesso,58,0.416,0.85,125.096,0.0455,205440,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,6LNjIsgHNs4q75uPt4rYf6,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
REMEDY,Alesso,66,0.601,0.775,119.964,0.0473,190295,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",71,4AVFqumd2ogHFlRbKIjp1t,6jreFSOTUAViWjKyzOC4Kg,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
I Want U,Alison Wonderland,57,0.606,0.829,140.033,0.036,210017,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,6wb61u8ayuanWSHZzle5od,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Fight or Flight,Alison Wonderland,55,0.577,0.955,156.026,0.0664,151538,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,0biZ6lxXHy4eHweTbOD33W,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Anything,Alison Wonderland,54,0.768,0.908,120.042,0.0486,226000,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,48fPdAwGVoSkGK8GSez9yx,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Picture,Alison Wonderland,52,0.36,0.574,132.097,0.0434,207272,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,1sAyfWbmgrT7HganHgLSYQ,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
New Rules - Alison Wonderland Remix,Alison Wonderland,51,0.578,0.59,128.092,0.0431,263403,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,5Fx2UrcQobzM1h2ihdhsmm,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Down The Line,Alison Wonderland,45,0.663,0.652,149.994,0.0598,208440,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,0uJ9ERKbkX6IcTLTgbIZYC,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Fuck U Love U,Alison Wonderland,46,0.298,0.803,76.872,0.0462,190920,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,2h1uvDHYv9Cll7DWOPtYa4,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Wake Up,Alison Wonderland,51,0.606,0.817,140.021,0.0448,208947,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",51,11gWrKZMBsGQWmobv3oNfW,1WWrLjKKuNeuKGRwSj36ti,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
