Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
anything,Adrianne Lenker,70,0.388,0.291,83.943,0.0421,202047,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,4PwWESSlTwzvw9B7bmtTLS,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
half return,Adrianne Lenker,58,0.435,0.382,143.866,0.0298,128700,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,1i8dJGpKO0xQiKGCVslJqB,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
Ruined,Adrianne Lenker,56,0.402,0.129,108.915,0.0417,272800,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,2NUIlCRqz6OxgGOipYqBCw,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
Jonathan,Adrianne Lenker,59,0.573,0.276,136.704,0.0405,128853,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,1Pfc1Qpj0s9vQumI0JvpBp,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
Steamboat,Adrianne Lenker,55,0.707,0.208,128.88,0.0436,161133,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,6LSkjULcHSSfzVe7NY5iZJ,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
Sadness As A Gift,Adrianne Lenker,60,0.53,0.277,115.34,0.031,259015,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,6oBIzNjrQ7ibErxk1ZbdfA,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
Indiana,Adrianne Lenker,57,0.444,0.173,154.857,0.0505,157440,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,4yVrfsUNtc5RS7nbOv8hHA,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
Fool,Adrianne Lenker,61,0.513,0.356,143.837,0.0322,174539,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,2T0NGoXh9FT1kCjQA5Phto,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
"not a lot, just forever",Adrianne Lenker,65,0.354,0.269,91.608,0.0297,250198,"['Chamber Pop', 'Countrygaze', 'Indie Pop', 'Small Room']",62,4aKWmkWAKviFlyvHYPTNQY,11hEwcy9LMEvzAlOYAFhkK,https://i.scdn.co/image/ab6761610000f17846e88446bcf8dce2537ef8ce
When A Cowboy Trades His Spurs For Wings,David Rawlings,26,0.481,0.132,112.918,0.0382,183894,['New England Americana'],42,01XgbvLicKQELx7NqHgi5G,6KXIT7swzbtBjIepVzbarJ,https://i.scdn.co/image/ab6761610000f178a3a1e27dcf70985196036aaf
