Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
MANGO (feat. Adi Oasis),Adi Oasis,61,0.668,0.605,83.002,0.0454,245994,"['Indie R&B', 'Indie Soul']",55,5RRfTrwXUGYiBB0DMV4hyh,384TJj6XyHUyNlCbdgm6Sz,https://i.scdn.co/image/ab6761610000f1785e9a8f9b0d5a7ab7ba4ee1b7
Get it Got it,Adi Oasis,41,0.671,0.77,90.004,0.0568,246680,"['Indie R&B', 'Indie Soul']",55,5RRfTrwXUGYiBB0DMV4hyh,1PJZoofwSD9VJ4HmIFIJZy,https://i.scdn.co/image/ab6761610000f1785e9a8f9b0d5a7ab7ba4ee1b7
Serena - Feat. Samm Henshaw,Adi Oasis,50,0.519,0.776,90.365,0.0468,226466,"['Indie R&B', 'Indie Soul']",55,5RRfTrwXUGYiBB0DMV4hyh,3M7CTl6EiNEeeoFl79GiAG,https://i.scdn.co/image/ab6761610000f1785e9a8f9b0d5a7ab7ba4ee1b7
Adonis - Feat. KIRBY,Adi Oasis,48,0.491,0.725,168.144,0.11,219146,"['Indie R&B', 'Indie Soul']",55,5RRfTrwXUGYiBB0DMV4hyh,1Q6n0mQqqOCXsUGGKxQmrV,https://i.scdn.co/image/ab6761610000f1785e9a8f9b0d5a7ab7ba4ee1b7
Whisper My Name,Adi Oasis,45,0.644,0.554,86.05,0.0269,241057,"['Indie R&B', 'Indie Soul']",55,5RRfTrwXUGYiBB0DMV4hyh,0dTye9Nu4yiVfmIlyI8PEE,https://i.scdn.co/image/ab6761610000f1785e9a8f9b0d5a7ab7ba4ee1b7
Naked - Feat. Leven Kali,Adi Oasis,50,0.638,0.779,81.99,0.0602,184385,"['Indie R&B', 'Indie Soul']",55,5RRfTrwXUGYiBB0DMV4hyh,64UV18ljWdleZU635jx2IO,https://i.scdn.co/image/ab6761610000f1785e9a8f9b0d5a7ab7ba4ee1b7
Door,Alfa Mist,43,0.505,0.511,126.264,0.0444,247760,"['British Jazz', 'Indie Soul']",49,2i1CPudyCUjL50Wqjv8AMI,5IOLaZLFnrBIjZImSS1E1u,https://i.scdn.co/image/ab6761610000f178e9aaa766b71aaa18a60e3ca1
Breathe,Alfa Mist,42,0.332,0.285,99.765,0.0307,447000,"['British Jazz', 'Indie Soul']",49,2i1CPudyCUjL50Wqjv8AMI,6nGNzqlHTKugpRWkXrZkPC,https://i.scdn.co/image/ab6761610000f178e9aaa766b71aaa18a60e3ca1
Keep On,Alfa Mist,49,0.611,0.328,103.343,0.047,647000,"['British Jazz', 'Indie Soul']",49,2i1CPudyCUjL50Wqjv8AMI,1GzBTeJLSh6frMPWxvNygc,https://i.scdn.co/image/ab6761610000f178e9aaa766b71aaa18a60e3ca1
Brian,Alfa Mist,49,0.721,0.385,87.181,0.0405,154866,"['British Jazz', 'Indie Soul']",49,2i1CPudyCUjL50Wqjv8AMI,3ejqlgVNAYr7PWuBSXl4K2,https://i.scdn.co/image/ab6761610000f178e9aaa766b71aaa18a60e3ca1
Aged Eyes,Alfa Mist,44,0.417,0.529,87.982,0.0445,246400,"['British Jazz', 'Indie Soul']",49,2i1CPudyCUjL50Wqjv8AMI,0gQbyxRhcMI8SM4eMZpSZF,https://i.scdn.co/image/ab6761610000f178e9aaa766b71aaa18a60e3ca1
Mohabbat,Arooj Aftab,47,0.369,0.231,165.438,0.0315,462500,['Pakistani Indie'],41,00JAfwtx5gNiiqyor88Dr5,4lcQHckNMeUkM8jx67j28G,https://i.scdn.co/image/ab6761610000f178d4292a9dc6c76b270d2acafb
Sajni,Arooj Aftab,34,0.23,0.171,167.27,0.0312,486598,['Pakistani Indie'],41,00JAfwtx5gNiiqyor88Dr5,2IsMmLgrMbFjfDFe2Beur5,https://i.scdn.co/image/ab6761610000f178d4292a9dc6c76b270d2acafb
