Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
1000 Blunts,$uicideboy$,78,0.83,0.698,132.99,0.077,175476,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,09riz9pAPJyYYDVynE5xxY,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,80,0.792,0.511,113.983,0.0409,168489,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,30QR0ndUdiiMQMA9g1PGCm,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
Matte Black,$uicideboy$,76,0.877,0.826,75.003,0.206,238145,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,0hPRWztAIbNkt6GcFcLiqF,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
Paris,$uicideboy$,78,0.849,0.648,106.058,0.0835,111020,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,6tO5bxNnMuh1c3cziSpecA,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
For the Last Time,$uicideboy$,77,0.844,0.533,140.078,0.552,156081,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,240audWazVjwvwh7XwfSZE,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
Antarctica,$uicideboy$,79,0.715,0.633,105.945,0.0804,126850,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,5UGAXwbA17bUC0K9uquGY2,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
Kill Yourself (Part III),$uicideboy$,79,0.753,0.68,105.977,0.0349,145078,"['Cloud Rap', 'Dark Trap', 'New Orleans Rap', 'Underground Hip Hop']",84,1VPmR4DJC1PlOtd0IADAO0,0kEZlJh4mK1QRfb3CT5LPk,https://i.scdn.co/image/ab6761610000f1789ba0b850b7288dd4a39745c0
IRL,BLP KOSHER,56,0.569,0.703,175.078,0.342,200463,[],59,6w60ExNMjs0gd4ioh7GMRI,3cUqCUPb49k2Ti2rgDjEU0,https://i.scdn.co/image/ab6761610000f178b10bb106e525d496e9be5feb
Violent Lullaby (with Yung Lean),BLP KOSHER,58,0.7,0.46,168.004,0.14,140455,[],59,6w60ExNMjs0gd4ioh7GMRI,1SrBdekTYaJnynRr2gKNAb,https://i.scdn.co/image/ab6761610000f178b10bb106e525d496e9be5feb
3 Stooges,BLP KOSHER,56,0.545,0.655,181.694,0.379,144195,[],59,6w60ExNMjs0gd4ioh7GMRI,0cBtPYUdQhLAsoTwUnSTwE,https://i.scdn.co/image/ab6761610000f178b10bb106e525d496e9be5feb
Special K,BLP KOSHER,61,0.628,0.606,158.143,0.154,147049,[],59,6w60ExNMjs0gd4ioh7GMRI,2GeCqcr5X9P055lHR9foYn,https://i.scdn.co/image/ab6761610000f178b10bb106e525d496e9be5feb
The Nac 3,BLP KOSHER,57,0.735,0.696,171.974,0.261,146041,[],59,6w60ExNMjs0gd4ioh7GMRI,0XdRxcFMrTCJGlJ9VZFoxh,https://i.scdn.co/image/ab6761610000f178b10bb106e525d496e9be5feb
HDMI,BONES,75,0.713,0.29,124.941,0.0647,139440,"['Cloud Rap', 'Dark Trap']",73,5v2WhpA59TJSdPh7LCx1lN,7I4ibsZgwuf46g0xHuTC8s,https://i.scdn.co/image/ab6761610000f17831672210ac133d978de5ce45
AirplaneMode,BONES,74,0.847,0.601,139.996,0.103,75428,"['Cloud Rap', 'Dark Trap']",73,5v2WhpA59TJSdPh7LCx1lN,5XKZua8kqgHwcxeKiMIjge,https://i.scdn.co/image/ab6761610000f17831672210ac133d978de5ce45
Sodium,BONES,72,0.747,0.32,121.032,0.0848,115392,"['Cloud Rap', 'Dark Trap']",73,5v2WhpA59TJSdPh7LCx1lN,5oo7lrBwuD4dVfJbBLyVyI,https://i.scdn.co/image/ab6761610000f17831672210ac133d978de5ce45
LooseScrew,BONES,65,0.379,0.43,99.93,0.0509,174374,"['Cloud Rap', 'Dark Trap']",73,5v2WhpA59TJSdPh7LCx1lN,6Qd2OmDq4rPFQi7qCHapTx,https://i.scdn.co/image/ab6761610000f17831672210ac133d978de5ce45
Morning Dew,BONES,66,0.545,0.497,138.952,0.0306,193436,"['Cloud Rap', 'Dark Trap']",73,5v2WhpA59TJSdPh7LCx1lN,0YkXRZcetpqI3VzjE9Sey6,https://i.scdn.co/image/ab6761610000f17831672210ac133d978de5ce45
