Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Falling Down (with Nick Hexum of 311),311,50,0.655,0.771,139.989,0.0334,198282,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,5A9xSuOZGQJNdRGEWVNGeI,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
Love Song,311,62,0.625,0.686,139.817,0.0309,211693,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,3mtukCAgd0mE260QcBfXAX,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
Beautiful Disaster,311,63,0.576,0.738,168.132,0.0353,238400,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,0LtsuNRz3IMRrHCYO9fKRk,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
I'll Be Here Awhile,311,56,0.638,0.867,142.045,0.0312,209693,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,1mHZhWJu6RVJhyu3USZdI5,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
Down,311,61,0.441,0.922,175.411,0.0655,172160,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,0HDaKOlVAfUWXdFR2RhBtN,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
Amber,311,69,0.663,0.697,166.001,0.0473,206973,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,6Fe3Flc9SjE03pqwD6PVQl,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
Champagne,311,56,0.66,0.622,174.15,0.0646,184973,"['Alternative Metal', 'Alternative Rock', 'Funk Metal', 'Funk Rock', 'Nu Metal', 'Pop Rock', 'Rap Rock', 'Reggae Fusion']",61,41Q0HrwWBtuUkJc7C1Rp6K,4cSSUpptr7r125fK5nRJhP,https://i.scdn.co/image/ab6761610000f17840d6cf99f1e4c6c8ad47411f
Terry,Action Bronson,52,0.376,0.62,87.538,0.367,289492,"['Alternative Hip Hop', 'East Coast Hip Hop', 'Hip Hop', 'NYC Rap', 'Queens Hip Hop']",62,7BMccF0hQFBpP6417k1OtQ,6bj42Hzr3RErxhfgSTdSx6,https://i.scdn.co/image/ab6761610000f178aef8392a62c123944b6383b2
Imported Goods,Action Bronson,62,0.619,0.937,93.294,0.355,249773,"['Alternative Hip Hop', 'East Coast Hip Hop', 'Hip Hop', 'NYC Rap', 'Queens Hip Hop']",62,7BMccF0hQFBpP6417k1OtQ,697zIbTO0LMhupzGblYREm,https://i.scdn.co/image/ab6761610000f178aef8392a62c123944b6383b2
Actin Crazy,Action Bronson,54,0.5,0.622,165.503,0.619,239466,"['Alternative Hip Hop', 'East Coast Hip Hop', 'Hip Hop', 'NYC Rap', 'Queens Hip Hop']",62,7BMccF0hQFBpP6417k1OtQ,3clX2NMmjaAHmBjeTSa9vV,https://i.scdn.co/image/ab6761610000f178aef8392a62c123944b6383b2
