Artist,Artist Genres,Artist Popularity,Artist uri,Artist Image url
2AR,[],8,0EmHKqjAo3nzuhWP9VrMZZ,https://i.scdn.co/image/ab6761610000f1781188dbd4d5daf78da4dc325e
ATLiens,"['Brostep', 'Dubstep']",45,74RET4rCZPTGzhsLjD0i3g,https://i.scdn.co/image/ab6761610000f1786c79c9bcb0e73ad137560a6c
AVELLO,[],22,1ZR5GnPw0Jkb5M4hnBwzuZ,https://i.scdn.co/image/ab6761610000f1788ffdd47fb6c771ddea241efa
AFROJACK,"['Big Room', 'Dance Pop', 'Dutch House', 'EDM', 'Electro House', 'Pop Dance']",69,4D75GcNG95ebPtNvoNVXhz,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9
Alan Walker,['Electro House'],79,7vk5e3vY1uw9plTHJAMwjN,https://i.scdn.co/image/ab6761610000f178bf753c009fd9c2d53351dd3c
Alesso,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance', 'Progressive Electro House']",72,4AVFqumd2ogHFlRbKIjp1t,https://i.scdn.co/image/ab6761610000f17885bb0aa225cf7e0dbc9fcefe
Alison Wonderland,"['Aussietronica', 'EDM', 'Electra', 'Electronic Trap', 'Escape Room', 'Indietronica']",52,11gWrKZMBsGQWmobv3oNfW,https://i.scdn.co/image/ab6761610000f1786af4313c7cb5d8854f0a8f67
Alok,"['Electro House', 'Pop Nacional', 'Slap House']",77,0NGAZxHanS9e0iNHpR8f2W,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
Anabel Englund,[],46,3ky8xBRraNNzxzXEw6Ga0c,https://i.scdn.co/image/ab6761610000f178060a2fdf947ab4e9ffbed1da
Anfisa Letyago,[],38,7icoOm5fKKPo49jVxoj1Cq,https://i.scdn.co/image/ab6761610000f178efa4cef3383dc681e6176b36
Armin van Buuren,"['Dutch House', 'Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",73,0SfsnGyD8FpIN4U4WCkBZ5,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
ARMNHMR,"['Melodic Dubstep', 'Pop EDM']",46,0P2bZXPyjHYRW4guHVAFl1,https://i.scdn.co/image/ab6761610000f1780fa7aaa62cb8eac0f3992d01
Azzecca,[],43,2k5DY2QDU3kBi5DX7OQlWj,https://i.scdn.co/image/ab6761610000f178b174a268fa3fd74e3d34cfc6
BAGGI,[],20,2YMB0FGsysOP5wOGJpXZom,https://i.scdn.co/image/36eb5b6602e1c4ccab87aaac11adee50403bebc8
