Artist,Artist Genres,Artist Popularity,Artist uri,Artist Image url
3LAU,"['EDM', 'Electro House', 'Mashup', 'Pop Dance', 'Progressive Electro House', 'Progressive House']",50,4YLQaW1UU3mrVetC8gNkg5,https://i.scdn.co/image/ab6761610000f1788c06e7f2a6ecf4e58bccc256
ATLiens,"['Brostep', 'Dubstep']",45,74RET4rCZPTGzhsLjD0i3g,https://i.scdn.co/image/ab6761610000f1786c79c9bcb0e73ad137560a6c
Cloonee,['Tech House'],52,7MdlXmq2HViAJWo9cf30sR,https://i.scdn.co/image/ab6761610000f178cb6b7ad40399803290cc85d7
Deeper Purpose,"['Tech House', 'UK Tech House']",41,10Bo1ofGMWr6hFD7OM7W7r,https://i.scdn.co/image/ab6761610000f1783e6d57b3706a8d0987e6a84c
Dom Dolla,"['Australian House', 'Deep Groove House', 'House']",67,205i7E8fNVfojowcQSfK9m,https://i.scdn.co/image/ab6761610000f178284b0239328d2d0b9abbb437
Excision,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Forester,['Stutter House'],48,3d13oWvwmjcodRr3NzdArc,https://i.scdn.co/image/ab6761610000f17841387706adfe979ebc42a363
Francis Mercier,['Melodic House'],54,44qAhQu52dYKcHOFQd3esf,https://i.scdn.co/image/ab6761610000f17851d07bab9073372d25103555
Galantis,"['Dance Pop', 'EDM', 'Pop', 'Pop Dance']",67,4sTQVOfp9vEMCemLw50sbu,https://i.scdn.co/image/ab6761610000f1787bda087d6fb48d481efd3344
Godlands,['Electra'],31,2BW6zD5lzOxdEFWrgsHMq8,https://i.scdn.co/image/ab6761610000f178421db1987d0522980084bd7b
Gryffin,"['EDM', 'Pop Dance']",65,2ZRQcIgzPCVaT9XKhXZIzh,https://i.scdn.co/image/ab6761610000f178bfbd11b7cb9185f08b69da7c
John Summit,"['EDM', 'House', 'Pop Dance', 'Tech House', 'UK Dance']",66,7kNqXtgeIwFtelmRjWv205,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
KREAM,['Pop Dance'],56,0DdDnziut7wOo6cAYWVZC5,https://i.scdn.co/image/ab6761610000f1784518a931bc31c3339bf48e47
Kumarion,['Stateside DnB'],36,1mlAkvaCrzWSxS2ATBZh27,https://i.scdn.co/image/ab6761610000f178cc925716afa64a7b0ee39b53
Marshmello,"['Brostep', 'EDM', 'Pop', 'Progressive Electro House']",83,64KEffDW9EtZ1y2vBYgq8T,https://i.scdn.co/image/ab6761610000f17841e4a3b8c1d45a9e49b6de21
Mary Droppinz,[],22,4tPVnr7VB15UA9TRsie3cS,https://i.scdn.co/image/ab6761610000f1785b26bdf2b950ed7efd625124
Massano,['Melodic Techno'],49,6htWLP8aiuf19FYMA4VQAZ,https://i.scdn.co/image/ab6761610000f1785c45bc451200093ff578f201
Mojave Grey,[],20,4RHpnWpQb7IkQLmp10YKRI,https://i.scdn.co/image/ab6761610000f1788ea04e13629d385c33ff1f90
Nikademis,['Melodic Dubstep'],29,1mbM2HRSAFPgomMnUSNSvP,https://i.scdn.co/image/ab6761610000f178713fd60b4e11af291e82225d
Nostalgix,['Bassline'],39,6CarTAUaWnQb6bp7yjP0Zz,https://i.scdn.co/image/ab6761610000f1786bbb44b7701617f2642899ce
DJ Paige,[],0,3Ly6jg92onrJZBjAreMIq2,
Said The Sky,"['Melodic Dubstep', 'Pop EDM']",54,4LZ4De2MoO3lP6QaNCfvcu,https://i.scdn.co/image/ab6761610000f178cd9e2b8f901285164a7fde6c
Sam Divine,['UK House'],36,029RjYsk0DU8LKC92sUyXZ,https://i.scdn.co/image/ab6761610000f178cf05c341ea653970b44e4b84
The Chainsmokers,['Pop'],78,69GGBxA162lTqCwzJG5jLp,https://i.scdn.co/image/ab6761610000f178db68d678df6d89bf8a55d052
VAVO,[],52,44re77WwNG34C182Jq3WIK,https://i.scdn.co/image/ab6761610000f1781c58b62e888b9adcf68522f4
Volaris,[],27,1gitvozvRIt6HisVREf3Hy,https://i.scdn.co/image/ab6761610000f178bf87468ef78a653d0714a789
Zeds Dead,"['Brostep', 'Canadian Electronic', 'Dubstep', 'EDM', 'Electro House', 'Progressive Electro House']",59,67qogtRNI0GjUr8PlaG6Zh,https://i.scdn.co/image/ab6761610000f1788f9c9739f2bbee96365a4b23
Dbreathe,[],38,1OzTpbVSn3XIh2qhinJd2g,https://i.scdn.co/image/ab6761610000f178cdaa6d62cf1a2d5f12e97442
